Step,A_Role-Conforming,A_Norm-Breaking,B_Role-Conforming,B_Norm-Breaking
1061,230,270,236,264
1062,249,251,242,258
1063,232,268,240,260
1064,248,252,263,237
1065,270,230,255,245
1066,264,236,242,258
1067,252,248,241,259
1068,266,234,249,251
1069,254,246,241,259
1070,246,254,252,248
1071,244,256,270,230
1072,249,251,237,263
1073,267,233,256,244
1074,250,250,250,250
1075,258,242,257,243
1076,268,232,242,258
1077,265,235,242,258
1078,255,245,239,261
1079,249,251,261,239
1080,265,235,275,225
1081,249,251,237,263
1082,251,249,241,259
1083,251,249,252,248
1084,247,253,267,233
1085,257,243,258,242
1086,247,253,245,255
1087,246,254,250,250
1088,258,242,251,249
1089,248,252,257,243
1090,233,267,243,257
1091,265,235,251,249
1092,239,261,248,252
1093,258,242,257,243
1094,256,244,244,256
1095,249,251,241,259
1096,251,249,228,272
1097,252,248,247,253
1098,251,249,238,262
1099,247,253,253,247
1100,242,258,249,251
1101,249,251,242,258
1102,250,250,252,248
1103,254,246,245,255
1104,260,240,246,254
1105,259,241,241,259
1106,272,228,248,252
1107,250,250,257,243
1108,266,234,254,246
1109,250,250,251,249
1110,263,237,257,243
1111,256,244,253,247
1112,266,234,245,255
1113,256,244,234,266
1114,274,226,254,246
1115,249,251,256,244
1116,249,251,248,252
1117,250,250,246,254
1118,242,258,263,237
1119,224,276,245,255
1120,239,261,227,273
1121,252,248,239,261
1122,248,252,246,254
1123,256,244,248,252
1124,255,245,258,242
1125,251,249,244,256
1126,258,242,247,253
1127,235,265,238,262
1128,255,245,253,247
1129,237,263,255,245
1130,224,276,265,235
1131,242,258,255,245
1132,248,252,229,271
1133,240,260,255,245
1134,249,251,253,247
1135,246,254,246,254
1136,260,240,254,246
1137,244,256,237,263
1138,251,249,257,243
1139,234,266,253,247
1140,244,256,260,240
1141,243,257,244,256
1142,250,250,259,241
1143,241,259,247,253
1144,243,257,245,255
1145,249,251,252,248
1146,229,271,252,248
1147,253,247,250,250
1148,241,259,246,254
1149,249,251,236,264
1150,234,266,224,276
1151,252,248,252,248
1152,259,241,248,252
1153,236,264,256,244
1154,238,262,254,246
1155,238,262,256,244
1156,257,243,252,248
1157,251,249,258,242
1158,249,251,260,240
1159,262,238,255,245
1160,249,251,258,242
1161,242,258,240,260
1162,250,250,264,236
1163,242,258,245,255
1164,225,275,247,253
1165,250,250,263,237
1166,254,246,245,255
1167,245,255,251,249
1168,243,257,256,244
1169,267,233,244,256
1170,248,252,261,239
1171,238,262,257,243
1172,243,257,267,233
1173,246,254,246,254
1174,240,260,254,246
1175,258,242,234,266
1176,234,266,231,269
1177,267,233,264,236
1178,228,272,226,274
1179,223,277,268,232
1180,243,257,253,247
1181,239,261,258,242
1182,257,243,266,234
1183,235,265,246,254
1184,239,261,246,254
1185,256,244,245,255
1186,246,254,261,239
1187,246,254,231,269
1188,260,240,254,246
1189,261,239,259,241
1190,249,251,257,243
1191,227,273,245,255
1192,254,246,248,252
1193,266,234,247,253
1194,247,253,259,241
1195,257,243,250,250
1196,233,267,255,245
1197,238,262,222,278
1198,244,256,252,248
1199,258,242,242,258
1200,262,238,250,250
1201,225,275,238,262
1202,266,234,270,230
1203,233,267,236,264
1204,259,241,238,262
1205,265,235,246,254
1206,268,232,246,254
1207,250,250,252,248
1208,243,257,260,240
1209,236,264,242,258
1210,243,257,242,258
1211,240,260,238,262
1212,240,260,238,262
1213,264,236,243,257
1214,243,257,242,258
1215,270,230,247,253
1216,252,248,244,256
1217,241,259,268,232
1218,258,242,260,240
1219,238,262,245,255
1220,255,245,264,236
1221,227,273,242,258
1222,240,260,248,252
1223,250,250,250,250
1224,264,236,248,252
1225,272,228,227,273
1226,250,250,241,259
1227,243,257,257,243
1228,247,253,263,237
1229,250,250,273,227
1230,241,259,270,230
1231,250,250,255,245
1232,277,223,239,261
1233,241,259,256,244
1234,246,254,251,249
1235,249,251,247,253
1236,244,256,264,236
1237,229,271,254,246
1238,251,249,257,243
1239,257,243,270,230
1240,230,270,252,248
1241,254,246,236,264
1242,244,256,240,260
1243,251,249,241,259
1244,265,235,275,225
1245,246,254,249,251
1246,252,248,239,261
1247,245,255,224,276
1248,255,245,259,241
1249,244,256,248,252
1250,244,256,267,233
1251,262,238,253,247
1252,264,236,248,252
1253,275,225,253,247
1254,238,262,264,236
1255,242,258,248,252
1256,254,246,259,241
1257,261,239,233,267
1258,235,265,245,255
1259,254,246,238,262
1260,260,240,232,268
1261,244,256,258,242
1262,226,274,249,251
1263,254,246,263,237
1264,236,264,262,238
1265,236,264,248,252
1266,227,273,257,243
1267,243,257,249,251
1268,247,253,246,254
1269,254,246,247,253
1270,253,247,243,257
1271,242,258,250,250
1272,254,246,261,239
1273,261,239,260,240
1274,237,263,257,243
1275,250,250,252,248
1276,259,241,256,244
1277,239,261,241,259
1278,250,250,251,249
1279,272,228,263,237
1280,265,235,245,255
1281,248,252,250,250
1282,235,265,258,242
1283,228,272,266,234
1284,234,266,259,241
1285,246,254,233,267
1286,260,240,229,271
1287,266,234,272,228
1288,264,236,239,261
1289,249,251,247,253
1290,240,260,244,256
1291,243,257,262,238
1292,232,268,232,268
1293,249,251,250,250
1294,256,244,253,247
1295,243,257,251,249
1296,249,251,243,257
1297,235,265,264,236
1298,253,247,255,245
1299,274,226,254,246
1300,247,253,249,251
1301,250,250,244,256
1302,257,243,258,242
1303,244,256,260,240
1304,232,268,257,243
1305,267,233,240,260
1306,250,250,272,228
1307,228,272,248,252
1308,262,238,254,246
1309,269,231,258,242
1310,243,257,275,225
1311,232,268,238,262
1312,231,269,232,268
1313,253,247,248,252
1314,240,260,251,249
1315,251,249,243,257
1316,273,227,264,236
1317,244,256,263,237
1318,256,244,248,252
1319,242,258,265,235
1320,257,243,240,260
1321,245,255,259,241
1322,228,272,257,243
1323,220,280,255,245
1324,239,261,267,233
1325,249,251,254,246
1326,247,253,261,239
1327,253,247,258,242
1328,248,252,263,237
1329,237,263,241,259
1330,258,242,242,258
1331,252,248,243,257
1332,243,257,258,242
1333,264,236,273,227
1334,253,247,261,239
1335,239,261,242,258
1336,243,257,262,238
1337,257,243,233,267
1338,249,251,242,258
1339,248,252,265,235
1340,255,245,243,257
1341,260,240,279,221
1342,257,243,271,229
1343,254,246,235,265
